,text,is_humor,target_1,humor_rating,target_2,humor_controversy,target_3,offense_rating,target_4
0,"Just woke up to horrific news. Worst mass shooting in U.S. history. Thoughts and prayers, Las Vegas. 😔🙏🏼💔",0,0.0,0.0,0.0,1,0.0,0.0,0.0
1,"Sometimes, even when we find the answer we've been looking for, we're still left with a whole hell of a lot of questions.",0,0.0,0.03478893,0.0,1,0.0,0.0,0.0
2,What sex position produces the ugliest children? Ask your mother.,1,1.0,0.25057292,2.25,0,0.0,2.0121446,1.7
3,"How do you make a big apple crumble? First, you'll need two planes... Happy 9/11 people.",1,1.0,0.20494632,1.75,1,0.0,0.0,4.2
4,"I hate black girls who work at McDonalds, they take your order with an attitude like you're the reason they've never met their dad.",1,1.0,0.21379772,1.06,0,0.0,3.5061455,4.3
5,"What do sprinters eat before a race? Nothing, they fast. corny",1,1.0,0.20981967,2.0,0,1.0,0.0,0.0
6,What do you call one white guy surrounded by 10 black guys? Coach. What do you call one white guy surrounded by 100 black guys? Warden.,1,1.0,0.2378037,2.6,0,1.0,3.0942268,3.6
7,Great news: scientists have bred a turkey that tastes exactly like tofurkey.,1,1.0,0.16576421,1.67,0,0.0,0.4153102,0.0
8,My penis was in a world record book once...until the librarian told me to take it out,1,1.0,0.16129102,2.7,0,0.0,0.51298094,0.75
9,This year I'm giving out a Halloween treat every child loves: some stern advice.,1,1.0,0.16655675,1.94,0,1.0,0.0,0.05
10,Sunflower Seeds r anti-aging. they help stave off wrinkles and improve skin elasticity. Eat a handful every day young anti age health,0,0.0,0.0,0.0,1,0.0,0.0,0.0
11,Happy Birthday!,0,0.0,0.007212907,0.0,1,0.0,0.0,0.0
12,What concert ticket costs 45 cents? 50 Cent featuring Nickelback,1,1.0,0.22729401,2.7,1,1.0,0.0,0.0
13,I trapped a couple of vegans in my basement. At least I think they're vegan. They keep shouting 'lettuce leaf!',1,1.0,0.15222803,2.75,0,1.0,0.52001274,0.5
14,"I love my job working as an ambulance paramedic. I get to read some pretty funny, half-finished text messages...",1,1.0,0.261919,2.27,0,0.0,0.26940244,0.95
15,"""Every morning when you wake up you have to choice. Between ceasing what life offers in moment and forging ahead no matter the weather.""",0,0.0,0.0,0.0,1,0.0,0.0,0.0
16,"""Have faith in your dreams and someday your rainbow will come smiling through."" - Cinderella",0,0.0,0.0,0.0,1,0.0,0.0,0.0
17,Tuna helps decrease dry eye syndrome & reduce risk of age-related eye diseases. it helps reduce symptoms of depression & ADHD tuna health,0,0.0,0.0,0.0,1,0.0,0.0,0.0
18,When in fact this is a condition doctors are calling “Chromatica sickness”.,1,0.0,0.34920615,0.0,0,0.0,0.0,0.15
19,"I told my neighbour Mohammed that I found a large arachnid in my bath. ""What's that?"" he said... ""It's a big white thing we wash our bodies in."" I said.",1,1.0,0.15500565,1.6,0,1.0,2.8216531,1.95
20,"""Of course he's gonna push you away.. Because he hates being vulnerable. But that's when he's gonna need you to stick with him the most.""",0,0.0,0.0,0.0,1,0.0,0.0,0.0
21,"I'm trying to introduce my wife to my Scooby Doo sex fantasy. I think it's working, she said we should split up. She went to her parents house and I'm looking for clues in the garden.",1,1.0,0.24584088,2.25,0,1.0,0.8582087,0.35
22,"""It's not about what you look like, or how successful you are. It's about having people in your life that you love and who love you.""",0,0.0,0.0,0.0,1,0.0,0.0,0.0
23,Accidently said hello to a vegan feminist this morning. My trial starts on Monday.,1,1.0,0.25136757,2.15,0,0.0,0.47791484,1.65
24,There's no reason to be tailgating me when I'm doing 50 in a 35...and those flashing lights on your car look stupid.,1,1.0,0.2173442,3.06,0,1.0,0.0,0.15
25," Paddy's wife was ready to give birth so he rushes her to hospital.On arrival the nurse asks ""How dilated is she?""To which paddy relies,""Oh Jaysus we""re both over the fucking moon!!",1,1.0,0.30291113,2.25,0,1.0,1.4967729,0.15
